ticket_id,created_date,agent_id,category,priority,status,resolution_hours,customer_rating
T1001,2026-07-01,A101,Login Issue,HIGH,RESOLVED,2.5,5
T1002,2026-07-01,A102,Payment Issue,CRITICAL,RESOLVED,5.0,4
T1003,2026-07-02,A103,Delivery Query,MEDIUM,OPEN,,
T1004,2026-07-02,A101,Login Issue,LOW,RESOLVED,1.2,5
T1005,2026-07-03,A104,Refund Request,HIGH,IN_PROGRESS,,
T1006,2026-07-03,A102,Payment Issue,HIGH,RESOLVED,3.5,3
T1007,2026-07-04,A103,Delivery Query,MEDIUM,RESOLVED,6.0,4
T1008,2026-07-04,A105,Account Update,LOW,RESOLVED,1.0,5
T1009,2026-07-05,A104,Refund Request,CRITICAL,RESOLVED,8.0,2
T1010,2026-07-05,A101,Login Issue,MEDIUM,CLOSED,2.0,4
T1011,2026-07-06,A105,Account Update,LOW,OPEN,,
T1012,2026-07-06,A102,Payment Issue,CRITICAL,RESOLVED,4.0,5
T1013,2026-07-07,A103,Delivery Query,HIGH,RESOLVED,7.5,3
T1014,2026-07-07,A104,Refund Request,MEDIUM,RESOLVED,5.5,4
T1015,2026-07-08,A101,Login Issue,HIGH,RESOLVED,2.2,5
T1016,2026-07-08,A105,Account Update,MEDIUM,IN_PROGRESS,,
T1017,2026-07-09,A102,Payment Issue,HIGH,RESOLVED,3.0,4
T1018,2026-07-09,A103,Delivery Query,LOW,RESOLVED,4.5,5
T1019,2026-07-10,A104,Refund Request,CRITICAL,OPEN,,
T1020,2026-07-10,A105,Account Update,HIGH,RESOLVED,2.8,4
